pageid,qid,P21,P27,P106,label_en
81249284,Q136432414,['Q6581097'],[],[],Sunday Ogidigbo
81249285,Q123466007,['Q6581097'],['Q30'],['Q937857'],Adam Beaudry
81249472,Q16584677,['Q6581097'],['Q298'],['Q82955'],Juan García Romero
81249558,Q136432409,['Q6581097'],[],[],Santos Medel
81249567,Q20603987,['Q6581097'],['Q258'],['Q3400985'],
81249589,Q16493497,['Q6581097'],['Q298'],['Q82955'],Jorge Cvitanic Simunovich
81249607,Q132459112,['Q6581097'],['Q347'],"['Q82955', 'Q154549', 'Q42973']",
81249718,Q136432734,['Q6581097'],[],[],Richard Muton
81249735,Q16145625,['Q6581097'],['Q298'],['Q82955'],Nicanor Allende
81249759,Q136432735,['Q6581097'],[],[],Dakarai Mafico
81249826,Q114346144,['Q6581072'],['Q38'],['Q14089670'],Francesca Granzotto
